Recipe Number,Recipe Name,Prep Time,Cook Time,Total Time,Servings,Ingredients,Directions,Rating,Cuisine Type,Nutrition,mood_category
1,Butter Chicken,15 mins,40 mins,55 mins,4,"Chicken, butter, cream, spices",1. Marinate chicken with yogurt and spices. 2. Cook chicken. 3. Prepare buttery tomato sauce. 4. Combine and simmer. 5. Garnish and serve.,4.8,Indian > North Indian,Calories: 380; Carbs: 9g; Protein: 26g; Fat: 28g,Happy
2,Paneer Tikka,20 mins,15 mins,35 mins,6,"Paneer, yogurt, spices",1. Marinate paneer and vegetables. 2. Grill until charred. 3. Serve with mint chutney.,4.7,Indian > North Indian,Calories: 210; Carbs: 8g; Protein: 12g; Fat: 15g,Excited
3,Masala Dosa,15 mins,30 mins,45 mins,4,"Rice and lentil batter, potato filling",1. Prepare batter and ferment. 2. Make potato masala. 3. Cook dosa and assemble.,4.9,Indian > South Indian,Calories: 260; Carbs: 52g; Protein: 6g; Fat: 2g,Sad
4,Rogan Josh,20 mins,50 mins,1 hr 10 mins,6,"Lamb, yogurt, spices",1. Marinate lamb. 2. Sear and cook with spices. 3. Simmer until tender.,4.6,Indian > Kashmiri,Calories: 380; Carbs: 12g; Protein: 28g; Fat: 24g,Relax
5,Chole Bhature,20 mins,40 mins,1 hr,6,"Chickpeas, spices, flour",1. Cook chickpeas with spices. 2. Prepare deep-fried bread (bhature).,4.8,Indian > North Indian,Calories: 420; Carbs: 50g; Protein: 10g; Fat: 20g,Happy
6,Biryani,30 mins,40 mins,1 hr 10 mins,4,"Basmati rice, meat/vegetables, spices",1. Parboil rice and marinate meat/vegetables. 2. Layer and cook in a pot.,4.9,Indian > Mughlai,Calories: 450; Carbs: 60g; Protein: 20g; Fat: 15g,Excited
7,Samosa,30 mins,20 mins,50 mins,12,"Potatoes, peas, spices, dough",1. Prepare filling. 2. Make dough and shape samosas. 3. Deep fry until golden.,4.7,Indian > North Indian,Calories: 160; Carbs: 20g; Protein: 3g; Fat: 8g,Happy
8,Tandoori Chicken,15 mins,30 mins,45 mins,4,"Chicken, yogurt, spices",1. Marinate chicken. 2. Grill or bake until cooked.,4.8,Indian > Punjabi,Calories: 220; Carbs: 3g; Protein: 30g; Fat: 10g,Excited
9,Palak Paneer,15 mins,25 mins,40 mins,4,"Paneer, spinach, spices",1. Blanch spinach and blend. 2. Cook with spices and paneer.,4.6,Indian > North Indian,Calories: 280; Carbs: 10g; Protein: 12g; Fat: 20g,Relax
10,Dhokla,15 mins,20 mins,35 mins,4,"Gram flour, yogurt, spices",1. Prepare batter and steam. 2. Temper with spices.,4.7,Indian > Gujarati,Calories: 180; Carbs: 30g; Protein: 5g; Fat: 5g,Relax
